name,url,id,rating_score,review_count,address
Corgi House Đà Nẵng - Gần cầu Rồng (Corgi House Danang - Steps from Dragon Bridge),https://www.agoda.com/vi-vn/corgi-house-danang-steps-from-dragon-bridge/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=1&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,74991667,8.9,112.0,"Hải Châu, Đà Nẵng - cách trung tâm 62 m"
Khách sạn Paracel Beach (Paracel Beach Hotel),https://www.agoda.com/vi-vn/paracel-danang-hotel_5/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,55580079,9.0,689.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km"
Eden Plaza Danang,https://www.agoda.com/vi-vn/eden-plaza-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,478053,7.9,1000.0,"Hải Châu, Đà Nẵng - cách trung tâm 1,4 km"
Khách sạn RHM (RHM HOTEL),https://www.agoda.com/vi-vn/rhm-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,50421633,8.9,960.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 3,1 km"
Purama Resort,https://www.agoda.com/vi-vn/luxury-furama-villas-danang-3-bedroom/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,9822925,8.5,215.0,"Hòa Hải, Đà Nẵng - cách trung tâm 4,0 km"
Khách sạn Alan Sea Đà Nẵng (Alan Sea Hotel Danang),https://www.agoda.com/vi-vn/alansea-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,33947239,8.5,764.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km"
Căn hộ & Khách sạn MTR (MTR Apartment & Hotel),https://www.agoda.com/vi-vn/mtr-apartment-hotel-h45878218/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=5&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,46749015,9.0,544.0,"Cẩm Lệ, Đà Nẵng - cách trung tâm 4,2 km"
Nhà Nghỉ Bắc Nam (Bac Nam Motel),https://www.agoda.com/vi-vn/bac-nam-motel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,2277732,7.1,264.0,"Hòa Minh, Đà Nẵng - cách trung tâm 4,7 km"
Khách sạn Seven Sea (7. Seven Sea Hotel ),https://www.agoda.com/vi-vn/seven-sea-hotel-da-nang_4/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1e008980-7a96-4f13-baa2-d44b9787981b,37904525,8.4,338.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km"
Khách sạn Cordial Beach Đà Nẵng (Cordial Beach Hotel Da Nang),https://www.agoda.com/vi-vn/cordial-hotel_2/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=2279a85f-97b2-4921-a840-d4b8c8d4d5cd,6428461,8.2,861.0,"An Hải Bắc, Đà Nẵng - cách trung tâm 1,7 km"
